onset	duration	trial_type	correct_response	accuracy	response_time	stimulus	position
4.026	1.8	no_response	n/a	1.0	n/a	p	TR
5.825	2.0	1-back	0.0	1.0	0.563	f	BL
7.824	2.0	1-back	1.0	1.0	0.853	n	BL
9.824	2.0	1-back	0.0	1.0	0.479	x	TR
11.823	2.0	1-back	0.0	1.0	0.5	c	TL
13.822	2.0	1-back	1.0	1.0	0.572	p	TL
15.821	2.0	1-back	0.0	1.0	0.604	n	BL
17.82	2.0	1-back	0.0	1.0	0.463	c	TR
19.819	2.0	1-back	1.0	1.0	0.61	g	TR
21.818	2.0	1-back	0.0	1.0	0.53	n	TL
23.817	2.0	1-back	0.0	1.0	0.821	s	BR
25.816	2.0	1-back	0.0	1.0	0.633	x	BL
27.815	2.0	1-back	0.0	1.0	0.639	t	TL
29.814	2.0	1-back	1.0	1.0	0.479	g	TL
31.813	2.0	1-back	0.0	1.0	0.546	p	BR
33.812	2.0	1-back	0.0	1.0	0.639	c	TL
35.811	2.0	1-back	1.0	1.0	0.64	r	TL
37.81	2.0	1-back	0.0	1.0	0.546	t	BL
39.81	2.0	1-back	1.0	1.0	0.674	v	BL
41.809	2.0	1-back	0.0	1.0	0.57	g	BR
43.808	2.0	1-back	0.0	1.0	0.588	p	TL
45.807	2.0	1-back	0.0	1.0	0.544	x	BR
47.806	2.0	1-back	1.0	1.0	0.678	z	BR
49.805	2.0	1-back	0.0	1.0	0.484	l	TR
51.804	2.0	1-back	1.0	1.0	0.565	v	TR
53.803	2.0	1-back	0.0	1.0	0.481	n	BR
55.802	2.0	1-back	0.0	1.0	0.574	r	BL
57.801	2.0	1-back	1.0	1.0	0.617	s	BL
59.8	2.0	1-back	0.0	1.0	0.534	z	TR
61.799	2.0	1-back	0.0	1.0	0.549	l	TL
63.798	2.0	1-back	0.0	1.0	0.632	g	BR
65.797	2.0	1-back	1.0	1.0	0.696	f	BR
67.796	2.0	1-back	0.0	1.0	0.625	t	TR
69.796	2.0	1-back	0.0	1.0	0.657	z	TL
71.795	2.0	1-back	1.0	1.0	0.537	l	TL
73.794	2.0	1-back	0.0	1.0	0.627	f	BL
75.793	2.0	1-back	0.0	1.0	0.509	t	TR
77.792	2.0	1-back	1.0	1.0	0.593	r	TR
79.791	2.0	1-back	0.0	1.0	0.595	l	BR
81.79	2.0	1-back	1.0	1.0	0.543	z	BR
83.789	2.0	1-back	0.0	1.0	0.573	r	TR
85.788	2.0	1-back	1.0	1.0	0.613	v	TR
87.787	2.0	1-back	0.0	1.0	0.667	s	BL
89.786	2.0	1-back	1.0	1.0	0.629	f	BL
91.785	2.0	1-back	0.0	1.0	0.486	v	TL
93.784	2.0	1-back	0.0	1.0	0.583	x	BR
95.783	2.0	1-back	1.0	1.0	0.754	c	BR
97.782	2.0	1-back	0.0	1.0	0.561	s	BL
103.829	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
105.878	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
107.927	2.0	baseline	1.0	1.0	0.329	redcross.bmp	n/a
109.976	2.0	baseline	1.0	1.0	0.472	redcross.bmp	n/a
112.026	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
114.075	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
116.124	2.0	baseline	1.0	1.0	0.345	redcross.bmp	n/a
118.173	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
120.222	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
122.271	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
124.32	2.0	baseline	1.0	1.0	0.351	redcross.bmp	n/a
126.369	2.0	baseline	n/a	1.0	n/a	blackcross.bmp	n/a
132.416	1.8	no_response	n/a	1.0	n/a	c	BL
134.215	1.8	no_response	n/a	1.0	n/a	l	TR
136.015	2.0	2-back	0.0	1.0	0.707	v	BR
138.014	2.0	2-back	1.0	1.0	0.549	p	TR
140.013	2.0	2-back	0.0	1.0	0.564	r	TL
142.012	2.0	2-back	0.0	1.0	0.588	t	BR
144.011	2.0	2-back	1.0	1.0	0.566	n	TL
146.01	2.0	2-back	0.0	1.0	0.485	s	TR
148.009	2.0	2-back	0.0	1.0	0.445	f	BL
150.008	2.0	2-back	1.0	1.0	0.325	x	TR
152.007	2.0	2-back	0.0	1.0	0.543	v	BR
154.006	2.0	2-back	0.0	1.0	0.511	p	BL
156.005	2.0	2-back	1.0	1.0	0.617	f	BR
158.004	2.0	2-back	0.0	1.0	0.426	n	TL
160.003	2.0	2-back	0.0	1.0	0.436	x	TR
162.002	2.0	2-back	1.0	1.0	0.373	t	TL
164.001	2.0	2-back	0.0	1.0	0.613	s	BL
166.001	2.0	2-back	0.0	1.0	0.488	l	TR
